Sentence,mV,Hz,uA,Output,Concentration
Lowest trough value in cleaned_30mV 100Hz_µA_5.csv: 0.010034241921652337,30.0,100.0,5,0.010034241921652337,100ng/mL
Lowest trough value in cleaned_30mV 100Hz_µA_6.csv: -0.0429183645040917,30.0,100.0,6,-0.0429183645040917,100ng/mL
Lowest trough value in cleaned_30mV 100Hz_µA_7.csv: -0.030211799854891253,30.0,100.0,7,-0.030211799854891253,100ng/mL
Lowest trough value in cleaned_30mV 100Hz_µA_8.csv: -0.025571589636171066,30.0,100.0,8,-0.025571589636171066,100ng/mL
Lowest trough value in cleaned_30mV 150Hz_µA_1.csv: 0.14904073577804755,30.0,150.0,1,0.14904073577804755,0ng/mL
Lowest trough value in cleaned_30mV 150Hz_µA_2.csv: 0.06145915172188232,30.0,150.0,2,0.06145915172188232,0ng/mL
Lowest trough value in cleaned_30mV 150Hz_µA_3.csv: 0.05586527287477008,30.0,150.0,3,0.05586527287477008,0ng/mL
Lowest trough value in cleaned_30mV 150Hz_µA_4.csv: 0.26528766266642667,30.0,150.0,4,0.26528766266642667,0ng/mL
Lowest trough value in cleaned_30mV 150Hz_µA_5.csv: 0.024926099286906533,30.0,150.0,5,0.024926099286906533,100ng/mL
Lowest trough value in cleaned_30mV 150Hz_µA_6.csv: -0.06296119246142307,30.0,150.0,6,-0.06296119246142307,100ng/mL
Lowest trough value in cleaned_30mV 150Hz_µA_7.csv: -0.0496827138297018,30.0,150.0,7,-0.0496827138297018,100ng/mL
Lowest trough value in cleaned_30mV 150Hz_µA_8.csv: -0.03081608024954091,30.0,150.0,8,-0.03081608024954091,100ng/mL
Lowest trough value in cleaned_30mV 200Hz_µA_1.csv: 0.17050709039518885,30.0,200.0,1,0.17050709039518885,0ng/mL
Lowest trough value in cleaned_30mV 200Hz_µA_2.csv: 0.09864261735148494,30.0,200.0,2,0.09864261735148494,0ng/mL
Lowest trough value in cleaned_30mV 200Hz_µA_3.csv: 0.08255251092759908,30.0,200.0,3,0.08255251092759908,0ng/mL
Lowest trough value in cleaned_30mV 200Hz_µA_4.csv: 0.3460842079610804,30.0,200.0,4,0.3460842079610804,0ng/mL
Lowest trough value in cleaned_30mV 200Hz_µA_5.csv: 0.02434023666226387,30.0,200.0,5,0.02434023666226387,100ng/mL
Lowest trough value in cleaned_30mV 200Hz_µA_6.csv: -0.07178662105386235,30.0,200.0,6,-0.07178662105386235,100ng/mL
Lowest trough value in cleaned_30mV 200Hz_µA_7.csv: -0.04838903073152767,30.0,200.0,7,-0.04838903073152767,100ng/mL
Lowest trough value in cleaned_30mV 200Hz_µA_8.csv: -0.0450553356080981,30.0,200.0,8,-0.0450553356080981,100ng/mL
Lowest trough value in cleaned_30mV 300Hz_µA_1.csv: 0.23524149285553575,30.0,300.0,1,0.23524149285553575,0ng/mL
Lowest trough value in cleaned_30mV 300Hz_µA_2.csv: 0.1472764154164956,30.0,300.0,2,0.1472764154164956,0ng/mL
Lowest trough value in cleaned_30mV 300Hz_µA_3.csv: 0.11045195797450424,30.0,300.0,3,0.11045195797450424,0ng/mL
Lowest trough value in cleaned_30mV 300Hz_µA_4.csv: 0.46058069015914205,30.0,300.0,4,0.46058069015914205,0ng/mL
Lowest trough value in cleaned_30mV 300Hz_µA_5.csv: 0.04576162602447331,30.0,300.0,5,0.04576162602447331,100ng/mL
Lowest trough value in cleaned_30mV 300Hz_µA_6.csv: -0.08264454015958755,30.0,300.0,6,-0.08264454015958755,100ng/mL
Lowest trough value in cleaned_30mV 300Hz_µA_7.csv: -0.041965922127051636,30.0,300.0,7,-0.041965922127051636,100ng/mL
Lowest trough value in cleaned_30mV 300Hz_µA_8.csv: -0.03218083664511706,30.0,300.0,8,-0.03218083664511706,100ng/mL
Lowest trough value in cleaned_40mV 10Hz_µA_1.csv: -0.6307832956037016,40.0,10.0,1,-0.6307832956037016,0ng/mL
Lowest trough value in cleaned_40mV 10Hz_µA_6.csv: -0.604746604785452,40.0,10.0,6,-0.604746604785452,100ng/mL
Lowest trough value in cleaned_40mV 10Hz_µA_7.csv: -0.6025404197362948,40.0,10.0,7,-0.6025404197362948,100ng/mL
Lowest trough value in cleaned_40mV 20Hz_µA_1.csv: -0.8559135017750599,40.0,20.0,1,-0.8559135017750599,0ng/mL
Lowest trough value in cleaned_40mV 20Hz_µA_7.csv: -0.6891981663661642,40.0,20.0,7,-0.6891981663661642,100ng/mL
Lowest trough value in cleaned_40mV 40Hz_µA_1.csv: -1.1222475151209323,40.0,40.0,1,-1.1222475151209323,0ng/mL
Lowest trough value in cleaned_40mV 40Hz_µA_2.csv: -0.02405370340367008,40.0,40.0,2,-0.02405370340367008,0ng/mL
Lowest trough value in cleaned_40mV 40Hz_µA_3.csv: -0.014964067343160886,40.0,40.0,3,-0.014964067343160886,0ng/mL
Lowest trough value in cleaned_40mV 60Hz_µA_1.csv: 0.0937348161665626,40.0,60.0,1,0.0937348161665626,0ng/mL
Lowest trough value in cleaned_40mV 60Hz_µA_2.csv: 0.06778640122178492,40.0,60.0,2,0.06778640122178492,0ng/mL
Lowest trough value in cleaned_40mV 60Hz_µA_3.csv: 0.059096706000804786,40.0,60.0,3,0.059096706000804786,0ng/mL
Lowest trough value in cleaned_40mV 60Hz_µA_5.csv: 0.015125524037051863,40.0,60.0,5,0.015125524037051863,100ng/mL
Lowest trough value in cleaned_40mV 60Hz_µA_6.csv: 0.043178250638207905,40.0,60.0,6,0.043178250638207905,100ng/mL
Lowest trough value in cleaned_40mV 60Hz_µA_7.csv: -0.010302548677354167,40.0,60.0,7,-0.010302548677354167,100ng/mL
Lowest trough value in cleaned_40mV 60Hz_µA_8.csv: 0.015727583385020616,40.0,60.0,8,0.015727583385020616,100ng/mL
Lowest trough value in cleaned_40mV 80Hz_µA_1.csv: 0.1529618541538601,40.0,80.0,1,0.1529618541538601,0ng/mL
Lowest trough value in cleaned_40mV 80Hz_µA_2.csv: 0.07238871638682087,40.0,80.0,2,0.07238871638682087,0ng/mL
Lowest trough value in cleaned_40mV 80Hz_µA_3.csv: 0.06580304062311754,40.0,80.0,3,0.06580304062311754,0ng/mL
Lowest trough value in cleaned_40mV 80Hz_µA_5.csv: 0.01734727644688705,40.0,80.0,5,0.01734727644688705,100ng/mL
Lowest trough value in cleaned_40mV 80Hz_µA_6.csv: 0.11246426645547863,40.0,80.0,6,0.11246426645547863,100ng/mL
Lowest trough value in cleaned_40mV 80Hz_µA_7.csv: -0.01992978969098147,40.0,80.0,7,-0.01992978969098147,100ng/mL
Lowest trough value in cleaned_40mV 80Hz_µA_8.csv: 0.012490114533984076,40.0,80.0,8,0.012490114533984076,100ng/mL
Lowest trough value in cleaned_40mV 100Hz_µA_1.csv: 0.1686291937402175,40.0,100.0,1,0.1686291937402175,0ng/mL
Lowest trough value in cleaned_40mV 100Hz_µA_2.csv: 0.08100367045741108,40.0,100.0,2,0.08100367045741108,0ng/mL
Lowest trough value in cleaned_40mV 100Hz_µA_3.csv: 0.07760305060880557,40.0,100.0,3,0.07760305060880557,0ng/mL
Lowest trough value in cleaned_40mV 100Hz_µA_5.csv: 0.014800076519959349,40.0,100.0,5,0.014800076519959349,100ng/mL
Lowest trough value in cleaned_40mV 100Hz_µA_6.csv: 0.1341931787602364,40.0,100.0,6,0.1341931787602364,100ng/mL
Lowest trough value in cleaned_40mV 100Hz_µA_7.csv: -0.030860301075953944,40.0,100.0,7,-0.030860301075953944,100ng/mL
Lowest trough value in cleaned_40mV 100Hz_µA_8.csv: 0.0005855307097640261,40.0,100.0,8,0.0005855307097640261,100ng/mL
Lowest trough value in cleaned_40mV 150Hz_µA_1.csv: 0.21382294951724967,40.0,150.0,1,0.21382294951724967,0ng/mL
Lowest trough value in cleaned_40mV 150Hz_µA_2.csv: 0.1036457470264116,40.0,150.0,2,0.1036457470264116,0ng/mL
Lowest trough value in cleaned_40mV 150Hz_µA_3.csv: 0.10910006662922922,40.0,150.0,3,0.10910006662922922,0ng/mL
Lowest trough value in cleaned_40mV 150Hz_µA_4.csv: 0.06906389047104944,40.0,150.0,4,0.06906389047104944,0ng/mL
Lowest trough value in cleaned_40mV 150Hz_µA_5.csv: 0.03318531061846991,40.0,150.0,5,0.03318531061846991,100ng/mL
Lowest trough value in cleaned_40mV 150Hz_µA_6.csv: 0.15408316353565055,40.0,150.0,6,0.15408316353565055,100ng/mL
Lowest trough value in cleaned_40mV 150Hz_µA_7.csv: -0.031059734850423903,40.0,150.0,7,-0.031059734850423903,100ng/mL
Lowest trough value in cleaned_40mV 150Hz_µA_8.csv: -0.011804061820909484,40.0,150.0,8,-0.011804061820909484,100ng/mL
Lowest trough value in cleaned_40mV 200Hz_µA_1.csv: 0.2595164457232497,40.0,200.0,1,0.2595164457232497,0ng/mL
Lowest trough value in cleaned_40mV 200Hz_µA_2.csv: 0.1401374445430239,40.0,200.0,2,0.1401374445430239,0ng/mL
Lowest trough value in cleaned_40mV 200Hz_µA_3.csv: 0.13127259992735457,40.0,200.0,3,0.13127259992735457,0ng/mL
Lowest trough value in cleaned_40mV 200Hz_µA_4.csv: 0.0721309396943024,40.0,200.0,4,0.0721309396943024,0ng/mL
Lowest trough value in cleaned_40mV 200Hz_µA_5.csv: 0.03868842798683103,40.0,200.0,5,0.03868842798683103,100ng/mL
Lowest trough value in cleaned_40mV 200Hz_µA_6.csv: 0.18381150836301297,40.0,200.0,6,0.18381150836301297,100ng/mL
Lowest trough value in cleaned_40mV 200Hz_µA_7.csv: -0.05628234534220666,40.0,200.0,7,-0.05628234534220666,100ng/mL
Lowest trough value in cleaned_40mV 200Hz_µA_8.csv: -0.013410721305168405,40.0,200.0,8,-0.013410721305168405,100ng/mL
Lowest trough value in cleaned_40mV 300Hz_µA_1.csv: 0.34763594466537917,40.0,300.0,1,0.34763594466537917,0ng/mL
Lowest trough value in cleaned_40mV 300Hz_µA_2.csv: 0.20591614369951183,40.0,300.0,2,0.20591614369951183,0ng/mL
Lowest trough value in cleaned_40mV 300Hz_µA_3.csv: 0.18847941739198593,40.0,300.0,3,0.18847941739198593,0ng/mL
Lowest trough value in cleaned_40mV 300Hz_µA_4.csv: 0.11347181291097197,40.0,300.0,4,0.11347181291097197,0ng/mL
Lowest trough value in cleaned_40mV 300Hz_µA_5.csv: 0.0665229423561613,40.0,300.0,5,0.0665229423561613,100ng/mL
Lowest trough value in cleaned_40mV 300Hz_µA_6.csv: 0.25676001209791655,40.0,300.0,6,0.25676001209791655,100ng/mL
Lowest trough value in cleaned_40mV 300Hz_µA_7.csv: -0.06038942085553245,40.0,300.0,7,-0.06038942085553245,100ng/mL
Lowest trough value in cleaned_40mV 300Hz_µA_8.csv: -0.0184784901475612,40.0,300.0,8,-0.0184784901475612,100ng/mL
Lowest trough value in cleaned_50mV 20Hz_µA_1.csv: -0.9551057100623714,50.0,20.0,1,-0.9551057100623714,0ng/mL
Lowest trough value in cleaned_50mV 20Hz_µA_7.csv: -0.8534997880272956,50.0,20.0,7,-0.8534997880272956,100ng/mL
Lowest trough value in cleaned_50mV 40Hz_µA_1.csv: -1.3102784468059085,50.0,40.0,1,-1.3102784468059085,0ng/mL
Lowest trough value in cleaned_50mV 40Hz_µA_2.csv: -0.02643574140209709,50.0,40.0,2,-0.02643574140209709,0ng/mL
Lowest trough value in cleaned_50mV 40Hz_µA_3.csv: -0.013841016490012542,50.0,40.0,3,-0.013841016490012542,0ng/mL
Lowest trough value in cleaned_50mV 60Hz_µA_1.csv: 0.12648625539599279,50.0,60.0,1,0.12648625539599279,0ng/mL
Lowest trough value in cleaned_50mV 60Hz_µA_2.csv: 0.10771239595963189,50.0,60.0,2,0.10771239595963189,0ng/mL
Lowest trough value in cleaned_50mV 60Hz_µA_3.csv: 0.08308890350409387,50.0,60.0,3,0.08308890350409387,0ng/mL
Lowest trough value in cleaned_50mV 60Hz_µA_5.csv: 0.027833622495090582,50.0,60.0,5,0.027833622495090582,100ng/mL
Lowest trough value in cleaned_50mV 60Hz_µA_6.csv: 0.14914807480565712,50.0,60.0,6,0.14914807480565712,100ng/mL
Lowest trough value in cleaned_50mV 60Hz_µA_8.csv: 0.04674190125043329,50.0,60.0,8,0.04674190125043329,100ng/mL
