Lowest trough value in cleaned_30mV 60Hz_µA_5.csv: 0.009328292704781638
Lowest trough value in cleaned_30mV 60Hz_µA_6.csv: -0.03334780340856003
Lowest trough value in cleaned_30mV 60Hz_µA_7.csv: -0.022246130040907947
Lowest trough value in cleaned_30mV 60Hz_µA_8.csv: -0.011145798835699883
Lowest trough value in cleaned_30mV 80Hz_µA_1.csv: 0.09962744202313473
Lowest trough value in cleaned_30mV 80Hz_µA_2.csv: 0.04484379383150994
Lowest trough value in cleaned_30mV 80Hz_µA_3.csv: 0.04238081158527618
No troughs found in cleaned_30mV 80Hz_µA_4.csv
Lowest trough value in cleaned_30mV 80Hz_µA_5.csv: 0.010531853070085806
Lowest trough value in cleaned_30mV 80Hz_µA_6.csv: -0.034056319283167547
Lowest trough value in cleaned_30mV 80Hz_µA_7.csv: -0.024812078094927387
Lowest trough value in cleaned_30mV 80Hz_µA_8.csv: -0.019969234181377082
Lowest trough value in cleaned_40mV 100Hz_µA_1.csv: 0.1686291937402175
Lowest trough value in cleaned_40mV 100Hz_µA_2.csv: 0.08100367045741108
Lowest trough value in cleaned_40mV 100Hz_µA_3.csv: 0.07760305060880557
No troughs found in cleaned_40mV 100Hz_µA_4.csv
Lowest trough value in cleaned_40mV 100Hz_µA_5.csv: 0.014800076519959349
Lowest trough value in cleaned_40mV 100Hz_µA_6.csv: 0.1341931787602364
Lowest trough value in cleaned_40mV 100Hz_µA_7.csv: -0.030860301075953944
Lowest trough value in cleaned_40mV 100Hz_µA_8.csv: 0.0005855307097640261
Lowest trough value in cleaned_40mV 10Hz_µA_1.csv: -0.6307832956037016
No troughs found in cleaned_40mV 10Hz_µA_2.csv
No troughs found in cleaned_40mV 10Hz_µA_3.csv
No troughs found in cleaned_40mV 10Hz_µA_4.csv
No troughs found in cleaned_40mV 10Hz_µA_5.csv
Lowest trough value in cleaned_40mV 10Hz_µA_6.csv: -0.604746604785452
Lowest trough value in cleaned_40mV 10Hz_µA_7.csv: -0.6025404197362948
No troughs found in cleaned_40mV 10Hz_µA_8.csv
Lowest trough value in cleaned_40mV 150Hz_µA_1.csv: 0.21382294951724967
Lowest trough value in cleaned_40mV 150Hz_µA_2.csv: 0.1036457470264116
Lowest trough value in cleaned_40mV 150Hz_µA_3.csv: 0.10910006662922922
Lowest trough value in cleaned_40mV 150Hz_µA_4.csv: 0.06906389047104944
Lowest trough value in cleaned_40mV 150Hz_µA_5.csv: 0.03318531061846991
Lowest trough value in cleaned_40mV 150Hz_µA_6.csv: 0.15408316353565055
Lowest trough value in cleaned_40mV 150Hz_µA_7.csv: -0.031059734850423903
Lowest trough value in cleaned_40mV 150Hz_µA_8.csv: -0.011804061820909484
Lowest trough value in cleaned_40mV 200Hz_µA_1.csv: 0.2595164457232497
Lowest trough value in cleaned_40mV 200Hz_µA_2.csv: 0.1401374445430239
Lowest trough value in cleaned_40mV 200Hz_µA_3.csv: 0.13127259992735457
Lowest trough value in cleaned_40mV 200Hz_µA_4.csv: 0.0721309396943024
Lowest trough value in cleaned_40mV 200Hz_µA_5.csv: 0.03868842798683103
