V,µA,V.1,µA.1,V.2,µA.2,V.3,µA.3,V.4,µA.4,V.5,µA.5,V.6,µA.6,V.7,µA.7,V.8,µA.8
-0.335742950439453,-0.0379085540771484,-0.335742950439453,-0.132322311401367,-0.335742950439453,-0.0183582305908203,-0.335742950439453,-0.250458717346191,-0.335742950439453,-0.0340938568115234,-0.335742950439453,-0.0479221343994141,-0.335742950439453,-0.0312328338623047,-0.335742950439453,-0.0483989715576172,-0.335742950439453,-0.0004570925846346
-0.336758613586426,-0.0374317169189453,-0.336758613586426,-0.13267993927002,-0.336758613586426,-0.0188350677490234,-0.336758613586426,-0.251054763793945,-0.336758613586426,-0.0350475311279297,-0.336758613586426,-0.0488758087158203,-0.336758613586426,-0.0318288803100586,-0.336758613586426,-0.0493526458740234,-0.336758613586426,0.0
-0.33769702911377,-0.0374317169189453,-0.33769702911377,-0.133275985717773,-0.33769702911377,-0.0193119049072266,-0.33769702911377,-0.251531600952148,-0.33769702911377,-0.0345706939697266,-0.33769702911377,-0.0493526458740234,-0.33769702911377,-0.0326633453369141,-0.33769702911377,-0.0507831573486328,-0.33769702911377,0.0
-0.338711738586426,-0.0388622283935547,-0.338711738586426,-0.133275985717773,-0.338711738586426,-0.0193119049072266,-0.338711738586426,-0.251531600952148,-0.338711738586426,-0.0340938568115234,-0.338711738586426,-0.0483989715576172,-0.338711738586426,-0.0321865081787109,-0.338711738586426,-0.0522136688232422,-0.338711738586426,-0.0013503799891977
-0.339727401733398,-0.0374317169189453,-0.339727401733398,-0.133275985717773,-0.339727401733398,-0.0188350677490234,-0.339727401733398,-0.251531600952148,-0.339727401733398,-0.0336170196533203,-0.339727401733398,-0.0498294830322266,-0.339727401733398,-0.0321865081787109,-0.339727401733398,-0.0526905059814453,-0.339727401733398,0.0
-0.340664863586426,-0.0383853912353516,-0.340664863586426,-0.133275985717773,-0.340664863586426,-0.0193119049072266,-0.340664863586426,-0.251531600952148,-0.340664863586426,-0.0345706939697266,-0.340664863586426,-0.0493526458740234,-0.340664863586426,-0.0321865081787109,-0.340664863586426,-0.0526905059814453,-0.340664863586426,-0.0007665307544854
-0.341680526733398,-0.0388622283935547,-0.341680526733398,-0.133275985717773,-0.341680526733398,-0.0188350677490234,-0.341680526733398,-0.251531600952148,-0.341680526733398,-0.0340938568115234,-0.341680526733398,-0.0498294830322266,-0.341680526733398,-0.0326633453369141,-0.341680526733398,-0.0526905059814453,-0.341680526733398,-0.0011879915030694
-0.342696189880371,-0.0393390655517578,-0.342696189880371,-0.134706497192383,-0.342696189880371,-0.0188350677490234,-0.342696189880371,-0.251531600952148,-0.342696189880371,-0.0344514846801758,-0.342696189880371,-0.0493526458740234,-0.342696189880371,-0.0331401824951172,-0.342696189880371,-0.0545978546142578,-0.342696189880371,-0.0016100062176328
-0.343633651733398,-0.0383853912353516,-0.343633651733398,-0.13422966003418,-0.343633651733398,-0.019073486328125,-0.343633651733398,-0.252485275268555,-0.343633651733398,-0.0345706939697266,-0.343633651733398,-0.0503063201904297,-0.343633651733398,-0.0331401824951172,-0.343633651733398,-0.0545978546142578,-0.343633651733398,-0.0006057375858023
-0.344649314880371,-0.0388622283935547,-0.344649314880371,-0.134587287902832,-0.344649314880371,-0.0193119049072266,-0.344649314880371,-0.252962112426758,-0.344649314880371,-0.0340640544891357,-0.344649314880371,-0.0503063201904297,-0.344649314880371,-0.0326633453369141,-0.344649314880371,-0.0555515289306641,-0.344649314880371,-0.001027767592677
-0.345664978027344,-0.0388622283935547,-0.345664978027344,-0.134706497192383,-0.345664978027344,-0.0193119049072266,-0.345664978027344,-0.252485275268555,-0.345664978027344,-0.0336170196533203,-0.345664978027344,-0.0498294830322266,-0.345664978027344,-0.0331401824951172,-0.345664978027344,-0.0565052032470703,-0.345664978027344,-0.0009729706149497
-0.346680641174316,-0.0379085540771484,-0.346680641174316,-0.134706497192383,-0.346680641174316,-0.0197887420654297,-0.346680641174316,-0.252008438110352,-0.346680641174316,-0.0336170196533203,-0.346680641174316,-0.0512599945068359,-0.346680641174316,-0.0326633453369141,-0.346680641174316,-0.0565052032470703,-0.346680641174316,0.0
-0.347618103027344,-0.0398159027099609,-0.347618103027344,-0.13422966003418,-0.347618103027344,-0.0193119049072266,-0.347618103027344,-0.251531600952148,-0.347618103027344,-0.0345706939697266,-0.347618103027344,-0.0493526458740234,-0.347618103027344,-0.0317096710205078,-0.347618103027344,-0.0565052032470703,-0.347618103027344,-0.0018213013548497
-0.348633766174316,-0.0383853912353516,-0.348633766174316,-0.134706497192383,-0.348633766174316,-0.0194311141967773,-0.348633766174316,-0.252962112426758,-0.348633766174316,-0.0336170196533203,-0.348633766174316,-0.0498294830322266,-0.348633766174316,-0.0336170196533203,-0.348633766174316,-0.0560283660888672,-0.348633766174316,-0.0003360284390262
-0.349649429321289,-0.0379085540771484,-0.349649429321289,-0.13422966003418,-0.349649429321289,-0.0193119049072266,-0.349649429321289,-0.253438949584961,-0.349649429321289,-0.0345706939697266,-0.349649429321289,-0.0512599945068359,-0.349649429321289,-0.0326633453369141,-0.349649429321289,-0.0560283660888672,-0.349649429321289,0.0
-0.350586891174316,-0.0383853912353516,-0.350586891174316,-0.134706497192383,-0.350586891174316,-0.0193119049072266,-0.350586891174316,-0.252485275268555,-0.350586891174316,-0.0340938568115234,-0.350586891174316,-0.0503063201904297,-0.350586891174316,-0.0331401824951172,-0.350586891174316,-0.0574588775634766,-0.350586891174316,-0.0002292059161731
-0.351602554321289,-0.0393390655517578,-0.351602554321289,-0.134706497192383,-0.351602554321289,-0.0193119049072266,-0.351602554321289,-0.252962112426758,-0.351602554321289,-0.0340938568115234,-0.351602554321289,-0.0493526458740234,-0.351602554321289,-0.0326633453369141,-0.351602554321289,-0.0555515289306641,-0.351602554321289,-0.0011276188946516
-0.352618217468262,-0.0388622283935547,-0.352618217468262,-0.134706497192383,-0.352618217468262,-0.0183582305908203,-0.352618217468262,-0.253438949584961,-0.352618217468262,-0.0336170196533203,-0.352618217468262,-0.0507831573486328,-0.352618217468262,-0.0326633453369141,-0.352618217468262,-0.0565052032470703,-0.352618217468262,-0.0005960858632269
-0.353555679321289,-0.0398159027099609,-0.353555679321289,-0.134706497192383,-0.353555679321289,-0.0183582305908203,-0.353555679321289,-0.253438949584961,-0.353555679321289,-0.0340938568115234,-0.353555679321289,-0.0503063201904297,-0.353555679321289,-0.0321865081787109,-0.353555679321289,-0.0560283660888672,-0.353555679321289,-0.0014992941283062
-0.354571342468262,-0.0402927398681641,-0.354571342468262,-0.13422966003418,-0.354571342468262,-0.0187158584594727,-0.354571342468262,-0.253915786743164,-0.354571342468262,-0.0326633453369141,-0.354571342468262,-0.0512599945068359,-0.354571342468262,-0.0326633453369141,-0.354571342468262,-0.0555515289306641,-0.354571342468262,-0.001921475492054
-0.355587005615234,-0.0402927398681641,-0.355587005615234,-0.134706497192383,-0.355587005615234,-0.0188350677490234,-0.355587005615234,-0.254154205322266,-0.355587005615234,-0.0317096710205078,-0.355587005615234,-0.0512599945068359,-0.355587005615234,-0.0336170196533203,-0.355587005615234,-0.0550746917724609,-0.355587005615234,-0.0018662954758042
-0.356524467468262,-0.0393390655517578,-0.356524467468262,-0.13422966003418,-0.356524467468262,-0.0193119049072266,-0.356524467468262,-0.254213809967041,-0.356524467468262,-0.0321865081787109,-0.356524467468262,-0.0526905059814453,-0.356524467468262,-0.0345706939697266,-0.356524467468262,-0.0545978546142578,-0.356524467468262,-0.0008612058861609
-0.357540130615234,-0.0407695770263672,-0.357540130615234,-0.134706497192383,-0.357540130615234,-0.0189542770385742,-0.357540130615234,-0.254392623901367,-0.357540130615234,-0.0331401824951172,-0.357540130615234,-0.0536441802978516,-0.357540130615234,-0.0345706939697266,-0.357540130615234,-0.0526905059814453,-0.357540130615234,-0.0022371096468128
-0.358555793762207,-0.0393390655517578,-0.358555793762207,-0.135183334350586,-0.358555793762207,-0.0188350677490234,-0.358555793762207,-0.254392623901367,-0.358555793762207,-0.0336170196533203,-0.358555793762207,-0.0536441802978516,-0.358555793762207,-0.0340938568115234,-0.358555793762207,-0.0517368316650391,-0.358555793762207,-0.0007530869823327
-0.35957145690918,-0.0393390655517578,-0.35957145690918,-0.135183334350586,-0.35957145690918,-0.0191032886505127,-0.35957145690918,-0.254511833190918,-0.35957145690918,-0.0321865081787109,-0.35957145690918,-0.0541210174560547,-0.35957145690918,-0.0345706939697266,-0.35957145690918,-0.0522136688232422,-0.35957145690918,-0.0006985321152258
-0.360508918762207,-0.0398159027099609,-0.360508918762207,-0.135183334350586,-0.360508918762207,-0.0193119049072266,-0.360508918762207,-0.254392623901367,-0.360508918762207,-0.0331401824951172,-0.360508918762207,-0.0541210174560547,-0.360508918762207,-0.0355243682861328,-0.360508918762207,-0.0517368316650391,-0.360508918762207,-0.0011240515559741
-0.36152458190918,-0.0402927398681641,-0.36152458190918,-0.135183334350586,-0.36152458190918,-0.0193119049072266,-0.36152458190918,-0.25486946105957,-0.36152458190918,-0.0317096710205078,-0.36152458190918,-0.0550746917724609,-0.36152458190918,-0.0336170196533203,-0.36152458190918,-0.0503063201904297,-0.36152458190918,-0.00154586506415
-0.362540245056152,-0.0402927398681641,-0.362540245056152,-0.136137008666992,-0.362540245056152,-0.0193119049072266,-0.362540245056152,-0.255346298217773,-0.362540245056152,-0.0321865081787109,-0.362540245056152,-0.0550746917724609,-0.362540245056152,-0.0340938568115234,-0.362540245056152,-0.0512599945068359,-0.362540245056152,-0.0014914163084388
-0.36347770690918,-0.0417232513427734,-0.36347770690918,-0.135183334350586,-0.36347770690918,-0.0207424163818359,-0.36347770690918,-0.254392623901367,-0.36347770690918,-0.0313520431518555,-0.36347770690918,-0.0565052032470703,-0.36347770690918,-0.0355243682861328,-0.36347770690918,-0.0503063201904297,-0.36347770690918,-0.0028717003734922
-0.364493370056152,-0.0412464141845703,-0.364493370056152,-0.136613845825195,-0.364493370056152,-0.0202655792236328,-0.364493370056152,-0.25629997253418,-0.364493370056152,-0.0307559967041016,-0.364493370056152,-0.0565052032470703,-0.364493370056152,-0.0360012054443359,-0.364493370056152,-0.0488758087158203,-0.364493370056152,-0.0023404774009552
-0.365509033203125,-0.0413656234741211,-0.365509033203125,-0.136613845825195,-0.365509033203125,-0.0188350677490234,-0.365509033203125,-0.25486946105957,-0.365509033203125,-0.0307559967041016,-0.365509033203125,-0.0569820404052734,-0.365509033203125,-0.0361204147338867,-0.365509033203125,-0.0479221343994141,-0.365509033203125,-0.0024047907513527
-0.366446495056152,-0.0412464141845703,-0.366446495056152,-0.136137008666992,-0.366446495056152,-0.0202655792236328,-0.366446495056152,-0.25486946105957,-0.366446495056152,-0.0307559967041016,-0.366446495056152,-0.0569820404052734,-0.366446495056152,-0.0364780426025391,-0.366446495056152,-0.0474452972412109,-0.366446495056152,-0.0022344414046326
-0.367462158203125,-0.0422298908233643,-0.367462158203125,-0.136494636535645,-0.367462158203125,-0.0193119049072266,-0.367462158203125,-0.255823135375977,-0.367462158203125,-0.0307559967041016,-0.367462158203125,-0.0569820404052734,-0.367462158203125,-0.0364780426025391,-0.367462158203125,-0.0469684600830078,-0.367462158203125,-0.0031630913445339
-0.368477821350098,-0.0431537628173828,-0.368477821350098,-0.136613845825195,-0.368477821350098,-0.0197887420654297,-0.368477821350098,-0.255823135375977,-0.368477821350098,-0.0312328338623047,-0.368477821350098,-0.0588893890380859,-0.368477821350098,-0.0364780426025391,-0.368477821350098,-0.0464916229248047,-0.368477821350098,-0.0040327160047397
-0.369415283203125,-0.0431537628173828,-0.369415283203125,-0.136613845825195,-0.369415283203125,-0.0197887420654297,-0.369415283203125,-0.255823135375977,-0.369415283203125,-0.0312328338623047,-0.369415283203125,-0.0579357147216797,-0.369415283203125,-0.0369548797607422,-0.369415283203125,-0.0461339950561523,-0.369415283203125,-0.0039826801989921
-0.370430946350098,-0.0417232513427734,-0.370430946350098,-0.136613845825195,-0.370430946350098,-0.0200271606445313,-0.370430946350098,-0.255346298217773,-0.370430946350098,-0.0312328338623047,-0.370430946350098,-0.0598430633544922,-0.370430946350098,-0.0369548797607422,-0.370430946350098,-0.0455379486083984,-0.370430946350098,-0.0024979966622213
